UserID,CourseID,TransactionDate,Amount
U0001,C005,2023-01-14,2030.38
U0001,C035,2024-05-23,5324.36
U0001,C076,2024-06-18,6564.94
U0001,C075,2024-10-24,6701.75
U0001,C059,2025-02-24,2210.87
U0002,C055,2023-01-24,1839.55
U0002,C002,2024-04-27,2389.69
U0002,C050,2024-06-19,1587.78
U0002,C005,2024-06-30,5392.3
U0002,C008,2024-09-10,662.65
U0002,C057,2024-11-06,2454.22
U0002,C025,2025-01-06,1589.25
U0002,C032,2025-07-03,745.46
U0003,C021,2023-05-08,795.19
U0003,C074,2023-08-31,1128.21
U0003,C026,2024-04-28,2175.0
U0003,C007,2025-08-11,1314.81
U0004,C073,2023-11-24,6592.08
U0004,C059,2024-09-20,6376.05
U0004,C063,2024-09-28,2811.12
U0004,C080,2025-04-10,2952.45
U0004,C029,2025-10-26,5660.35
U0005,C008,2023-08-29,774.4
U0005,C040,2023-10-01,0.0
U0005,C013,2023-11-10,938.29
U0005,C038,2024-03-24,4759.97
U0005,C070,2024-03-28,2195.37
U0005,C039,2024-08-27,0.0
U0005,C079,2025-01-22,513.64
U0005,C043,2025-02-04,0.0
U0005,C051,2025-05-01,545.26
U0005,C031,2025-07-20,2030.33
U0005,C053,2025-09-06,1947.42
U0006,C003,2023-06-17,0.0
U0006,C039,2024-03-23,0.0
U0006,C080,2024-05-21,5115.32
U0006,C030,2025-07-03,2230.23
U0006,C063,2025-08-22,6539.51
U0006,C013,2025-12-12,749.74
U0007,C042,2023-06-09,5939.68
U0007,C072,2025-01-10,2631.84
U0007,C038,2025-12-17,4985.88
U0008,C072,2023-04-24,3146.56
U0008,C035,2023-05-07,5909.01
U0008,C022,2023-07-06,1223.26
U0008,C077,2023-08-18,2281.85
U0008,C062,2023-08-27,547.48
U0008,C064,2023-11-03,0.0
U0008,C026,2023-12-03,2101.36
U0008,C049,2024-02-19,858.51
U0008,C070,2024-02-25,490.79
U0008,C059,2024-11-02,7277.93
U0008,C066,2025-06-23,836.55
U0008,C034,2025-07-01,1926.28
U0008,C010,2025-09-28,1880.97
U0008,C017,2025-11-01,989.93
U0008,C029,2025-11-11,7431.16
U0008,C031,2025-12-01,1454.96
U0009,C076,2023-09-28,6089.02
U0009,C075,2025-04-30,5930.69
U0009,C063,2025-07-17,2021.9
U0009,C080,2025-11-17,3001.79
U0010,C017,2023-02-14,2033.58
U0010,C061,2023-04-29,2363.27
U0010,C002,2024-09-23,1984.34
U0010,C036,2025-03-21,1761.97
U0010,C008,2025-07-24,1735.96
U0010,C071,2025-08-04,2215.65
U0011,C078,2023-01-07,0.0
U0011,C037,2023-04-03,1311.79
U0011,C054,2023-05-30,1282.52
U0011,C040,2024-03-22,0.0
U0011,C022,2024-06-05,543.18
U0011,C058,2025-05-17,2201.04
U0012,C067,2023-03-06,0.0
U0012,C015,2023-05-04,358.79
U0012,C044,2023-05-11,0.0
U0012,C028,2023-05-22,2424.74
U0012,C024,2024-01-04,6955.23
U0012,C048,2024-08-10,1855.91
U0012,C019,2024-12-06,1226.18
U0012,C076,2025-04-17,7835.66
U0012,C069,2025-08-24,579.4
U0013,C018,2023-06-14,1733.89
U0013,C043,2023-09-30,0.0
U0013,C023,2023-10-05,821.35
U0013,C026,2024-12-13,2390.17
U0013,C007,2025-02-05,528.29
U0013,C039,2025-02-08,0.0
U0013,C074,2025-02-12,1371.87
U0013,C078,2025-02-22,0.0
U0013,C034,2025-05-10,1426.2
U0013,C077,2025-07-07,1144.92
U0014,C035,2023-08-31,4833.96
U0014,C029,2024-01-01,2272.89
U0014,C038,2025-03-15,2839.14
U0015,C075,2023-01-08,6998.9
U0015,C035,2023-02-16,7062.55
U0015,C059,2023-09-18,7123.82
U0015,C073,2024-04-01,2295.98
U0015,C024,2025-12-19,5221.04
U0016,C062,2024-09-03,1172.43
U0016,C017,2025-02-15,1058.49
U0016,C029,2025-05-18,5701.4
U0016,C061,2025-08-06,490.6
U0016,C071,2025-12-25,549.44
U0017,C024,2024-04-15,3548.04
U0017,C042,2024-05-21,6046.65
U0017,C038,2024-12-09,6309.58
U0017,C076,2025-08-01,3779.37
U0018,C005,2023-02-02,4736.42
U0018,C030,2023-03-07,1143.45
U0018,C049,2023-08-20,550.87
U0018,C003,2023-11-14,0.0
U0018,C013,2024-01-22,1809.5
U0018,C001,2024-05-07,0.0
U0018,C080,2024-07-18,5621.77
U0018,C039,2025-05-08,0.0
U0019,C006,2023-03-10,2370.8
U0019,C040,2023-04-10,0.0
U0019,C022,2023-05-18,475.4
U0019,C054,2023-07-26,1079.5
U0019,C078,2024-02-27,0.0
U0019,C037,2024-05-16,1792.07
U0019,C058,2025-07-03,1769.86
U0020,C078,2023-04-01,0.0
U0020,C054,2023-04-26,1891.74
U0020,C022,2024-03-20,2221.14
U0020,C058,2024-04-24,1646.66
U0020,C006,2025-04-03,2308.23
U0020,C040,2025-06-17,0.0
U0021,C027,2023-10-14,948.09
U0021,C041,2024-04-24,395.23
U0021,C060,2024-08-15,1568.84
U0021,C004,2024-10-15,569.61
U0021,C070,2025-10-28,1368.2
U0022,C008,2023-10-21,1281.12
U0022,C002,2024-04-30,972.89
U0022,C066,2024-09-10,2034.77
U0022,C071,2024-10-18,904.84
U0023,C035,2024-03-28,3000.16
U0023,C038,2025-04-26,4582.18
U0023,C042,2025-12-03,4246.32
U0024,C031,2023-05-05,1436.93
U0024,C035,2023-12-25,4272.46
U0024,C016,2024-07-17,0.0
U0024,C032,2024-09-07,1046.49
U0024,C011,2025-05-24,0.0
U0025,C041,2023-04-07,755.08
U0025,C073,2023-11-02,3953.94
U0025,C007,2024-09-06,2042.55
U0025,C044,2024-10-14,0.0
U0025,C020,2024-12-06,2020.25
U0025,C074,2025-02-19,1915.07
U0025,C062,2025-04-16,960.08
U0025,C001,2025-05-02,0.0
U0025,C024,2025-10-12,6899.54
U0025,C039,2025-12-10,0.0
U0026,C010,2023-04-29,1788.01
U0026,C053,2023-10-23,318.5
U0026,C067,2024-01-12,0.0
U0026,C029,2024-04-06,3263.23
U0026,C061,2024-05-08,912.27
U0026,C034,2024-09-07,2405.39
U0026,C059,2025-02-09,4151.29
U0026,C035,2025-04-25,6969.82
U0026,C022,2025-08-06,2494.21
U0026,C050,2025-08-27,2068.76
U0027,C065,2023-10-02,0.0
U0027,C051,2024-05-12,1990.63
U0027,C018,2025-03-06,1956.54
U0027,C023,2025-05-03,1928.05
U0027,C072,2025-12-21,2856.1
U0028,C064,2023-06-11,0.0
U0028,C077,2024-02-21,1194.63
U0028,C050,2024-06-06,1195.59
U0028,C079,2024-11-07,444.22
U0029,C009,2023-04-16,0.0
U0029,C053,2023-07-09,618.43
U0029,C056,2024-01-26,0.0
U0029,C068,2024-07-03,6259.66
U0029,C033,2025-01-29,1351.17
U0029,C034,2025-07-10,831.91
U0030,C044,2023-03-22,0.0
U0030,C015,2023-05-30,796.26
U0030,C076,2024-01-21,5841.86
U0030,C024,2024-03-03,4145.88
U0030,C069,2024-03-20,2452.76
U0030,C028,2025-02-11,1347.16
U0030,C048,2025-09-08,1626.68
U0031,C047,2023-02-01,0.0
U0031,C050,2024-03-09,1456.81
U0031,C043,2024-09-12,0.0
U0031,C079,2024-11-12,1700.6
U0032,C022,2023-08-29,562.9
U0032,C006,2024-01-25,1538.24
U0032,C054,2024-02-23,1884.44
U0032,C058,2024-05-05,1182.18
U0032,C078,2024-05-11,0.0
U0032,C040,2025-03-23,0.0
U0032,C037,2025-09-07,2315.94
U0033,C065,2024-06-19,0.0
U0033,C040,2024-08-02,0.0
U0033,C062,2024-09-23,1338.02
U0033,C063,2024-10-20,6932.08
U0033,C072,2025-01-05,5943.12
U0033,C030,2025-01-06,2235.34
U0033,C053,2025-02-18,2169.77
U0033,C016,2025-08-12,0.0
U0033,C014,2025-12-28,765.39
U0034,C017,2023-07-21,1328.94
U0034,C071,2024-02-21,393.62
U0034,C029,2024-10-17,2511.05
U0034,C036,2025-08-12,1799.83
U0034,C066,2025-08-19,1573.19
U0034,C045,2025-10-15,0.0
U0034,C002,2025-11-16,413.84
U0035,C047,2023-04-04,0.0
U0035,C038,2024-10-02,3450.33
U0035,C077,2025-01-29,1812.7
U0035,C043,2025-04-27,0.0
U0036,C076,2023-02-03,7780.0
U0036,C059,2023-10-26,4783.57
U0036,C038,2024-03-29,2058.54
U0037,C039,2023-11-09,0.0
U0037,C080,2024-02-06,6619.95
U0037,C049,2024-04-16,563.46
U0037,C001,2024-05-18,0.0
U0037,C030,2024-06-18,575.21
U0037,C003,2024-08-27,0.0
U0037,C063,2024-11-06,6841.93
U0037,C013,2025-02-16,883.28
U0037,C005,2025-05-05,2100.69
U0038,C027,2023-10-14,1307.92
U0038,C063,2023-12-11,6564.13
U0038,C073,2023-12-13,3080.85
U0038,C018,2024-01-12,1532.92
U0038,C049,2024-06-11,2386.96
U0038,C024,2024-11-22,4124.61
U0038,C031,2024-12-22,1502.09
U0038,C079,2025-08-01,2342.05
U0038,C074,2025-09-27,2416.08
U0038,C047,2025-09-27,0.0
U0038,C061,2025-10-01,1665.0
U0038,C037,2025-10-19,1973.39
U0039,C015,2023-01-14,1973.22
U0039,C051,2023-01-19,2319.54
U0039,C072,2023-03-11,7516.19
U0039,C049,2023-04-10,397.8
U0039,C069,2023-05-01,1174.24
U0039,C060,2023-05-20,1162.41
U0039,C014,2023-06-02,2484.16
U0039,C036,2023-10-09,1116.79
U0039,C021,2023-11-06,1958.38
U0039,C058,2024-03-23,2391.04
U0039,C003,2024-04-18,0.0
U0039,C039,2025-04-24,0.0
U0039,C052,2025-12-09,0.0
U0040,C054,2023-01-14,321.2
U0040,C031,2023-01-25,2241.02
U0040,C055,2023-02-02,746.87
U0040,C046,2023-02-04,0.0
U0040,C039,2023-02-05,0.0
U0040,C063,2023-05-04,4172.06
U0040,C009,2024-07-16,0.0
U0040,C062,2024-08-10,719.46
U0040,C013,2025-02-03,433.93
U0040,C042,2025-04-22,4623.89
U0040,C069,2025-05-31,1908.79
U0040,C016,2025-07-22,0.0
U0040,C006,2025-09-16,1889.88
U0040,C080,2025-09-26,3202.36
U0040,C038,2025-10-25,3859.51
U0040,C032,2025-11-01,1597.95
U0040,C024,2025-12-20,2310.41
U0040,C064,2025-12-25,0.0
U0041,C031,2023-07-17,1014.65
U0041,C016,2023-08-08,0.0
U0041,C032,2024-01-03,965.45
U0041,C011,2025-12-09,0.0
U0042,C019,2023-06-11,1244.11
U0042,C045,2023-06-15,0.0
U0042,C008,2023-11-01,513.53
U0042,C079,2024-01-29,1401.39
U0042,C072,2024-04-07,7768.08
U0042,C005,2024-05-08,5352.88
U0042,C014,2024-05-13,559.68
U0042,C065,2024-05-31,0.0
U0042,C033,2024-07-01,1474.44
U0042,C077,2024-09-06,1870.7
U0042,C056,2024-12-26,0.0
U0042,C026,2025-02-03,978.44
U0042,C080,2025-03-23,5243.41
U0042,C018,2025-04-11,1359.98
U0042,C040,2025-07-29,0.0
U0042,C007,2025-12-14,1852.63
U0043,C009,2023-03-06,0.0
U0043,C053,2023-04-25,454.96
U0043,C034,2023-07-11,2095.1
U0043,C052,2025-02-11,0.0
U0043,C020,2025-02-15,1402.33
U0043,C012,2025-04-10,0.0
U0043,C056,2025-09-01,0.0
U0044,C028,2023-01-20,342.55
U0044,C015,2023-06-19,1158.5
U0044,C044,2023-12-17,0.0
U0044,C024,2024-11-09,7608.97
U0044,C048,2025-06-07,1204.64
U0044,C076,2025-10-20,3147.57
U0045,C070,2023-03-09,2377.42
U0045,C037,2023-03-29,987.4
U0045,C030,2023-04-06,2381.81
U0045,C061,2023-06-02,531.99
U0045,C049,2023-07-15,1641.02
U0045,C040,2024-01-03,0.0
U0045,C060,2024-03-08,895.41
U0045,C001,2024-04-15,0.0
U0045,C021,2024-07-09,2204.41
U0045,C076,2024-07-28,2927.97
U0045,C068,2025-08-31,5585.01
U0045,C045,2025-12-17,0.0
U0046,C007,2023-02-02,1679.47
U0046,C025,2023-06-07,2366.23
U0046,C021,2023-10-23,2358.79
U0046,C075,2024-02-29,4312.68
U0046,C074,2024-10-06,410.08
U0046,C026,2025-03-26,1491.38
U0047,C065,2023-04-20,0.0
U0047,C061,2023-06-05,2026.21
U0047,C063,2023-06-10,4995.59
U0047,C037,2023-07-20,2023.77
U0047,C052,2023-10-14,0.0
U0047,C062,2023-11-29,1203.95
U0047,C057,2024-04-20,1399.18
U0047,C002,2024-05-07,2221.19
U0047,C055,2024-09-04,2031.22
U0047,C070,2024-11-10,2133.01
U0047,C021,2024-11-28,1616.46
U0047,C007,2024-12-09,616.65
U0047,C012,2025-02-25,0.0
U0047,C049,2025-03-07,1702.5
U0047,C078,2025-03-23,0.0
U0047,C022,2025-06-14,1221.66
U0047,C080,2025-10-22,5209.15
U0048,C032,2023-03-02,2338.64
U0048,C016,2024-07-13,0.0
U0048,C011,2024-10-30,0.0
U0048,C031,2025-07-11,530.87
U0048,C035,2025-10-01,6585.64
U0049,C018,2023-05-31,1636.06
U0049,C041,2023-06-18,838.78
U0049,C070,2023-06-25,1441.29
U0049,C002,2023-11-12,1159.27
U0049,C019,2024-01-16,788.19
U0049,C034,2024-04-12,2258.88
U0049,C011,2024-05-19,0.0
U0049,C028,2024-07-02,426.01
U0049,C065,2024-08-27,0.0
U0049,C004,2024-12-29,830.38
U0049,C031,2025-02-07,1078.4
U0049,C043,2025-02-17,0.0
U0049,C010,2025-06-03,530.76
U0050,C035,2023-11-12,4999.68
U0050,C024,2024-10-10,7222.16
U0050,C059,2025-02-17,3029.16
U0050,C038,2025-03-08,4470.75
U0051,C010,2023-01-11,450.17
U0051,C038,2023-07-07,4234.2
U0051,C031,2023-07-29,1743.8
U0051,C070,2023-08-07,1070.15
U0051,C040,2024-07-06,0.0
U0051,C033,2024-09-23,1112.06
U0051,C030,2025-01-07,1889.02
U0051,C027,2025-01-08,783.24
U0051,C005,2025-06-29,4784.43
U0052,C072,2023-06-28,5125.44
U0052,C029,2023-09-29,5287.19
U0052,C042,2024-01-19,4100.22
U0052,C063,2025-06-01,6063.84
U0053,C011,2023-07-31,0.0
U0053,C035,2025-04-15,4318.72
U0053,C032,2025-07-08,1868.12
U0053,C016,2025-11-15,0.0
U0054,C063,2023-02-23,5248.88
U0054,C073,2023-07-03,6548.6
U0054,C035,2023-07-10,4488.83
U0054,C024,2024-10-26,6275.67
U0054,C076,2024-12-25,3840.43
U0055,C048,2023-01-26,1939.66
U0055,C024,2023-06-23,2800.9
U0055,C028,2024-08-20,1526.44
U0055,C015,2025-02-27,1892.56
U0055,C019,2025-03-05,1585.27
U0055,C067,2025-04-27,0.0
U0056,C033,2023-12-14,1462.19
U0056,C068,2023-12-14,4777.69
U0056,C034,2024-05-12,1945.11
U0056,C020,2025-02-18,2116.02
U0056,C059,2025-12-03,3349.25
U0057,C029,2023-10-12,4209.08
U0057,C063,2024-07-04,4593.08
U0057,C005,2024-09-08,2185.89
U0058,C074,2023-05-10,2274.42
U0058,C007,2023-10-26,1009.66
U0058,C025,2023-12-09,2252.86
U0058,C026,2024-07-03,384.75
U0058,C057,2024-07-19,2281.11
U0058,C075,2025-06-09,3950.74
U0058,C021,2025-10-06,1766.06
U0059,C067,2023-06-07,0.0
U0059,C069,2024-05-20,2061.97
U0059,C024,2024-05-30,7600.43
U0059,C028,2024-09-05,2117.63
U0059,C015,2025-01-09,2285.81
U0059,C076,2025-05-12,7802.58
U0059,C044,2025-09-18,0.0
U0059,C019,2025-10-12,1782.37
U0060,C056,2023-01-14,0.0
U0060,C034,2023-08-08,987.11
U0060,C059,2023-10-05,5925.05
U0060,C053,2024-02-05,1544.6
U0060,C052,2024-09-15,0.0
U0060,C068,2024-11-11,2085.29
U0060,C033,2025-03-21,809.44
U0060,C012,2025-07-26,0.0
U0061,C044,2024-11-05,0.0
U0061,C048,2024-11-16,1184.14
U0061,C076,2025-02-17,4487.89
U0061,C019,2025-05-31,1158.31
U0061,C067,2025-06-20,0.0
U0062,C013,2023-10-06,2133.34
U0062,C053,2023-12-30,1605.98
U0062,C069,2024-02-16,471.83
U0062,C033,2024-08-19,1844.81
U0062,C036,2024-09-07,1712.67
U0062,C002,2024-10-05,507.8
U0062,C046,2024-10-15,0.0
U0062,C009,2024-10-18,0.0
U0062,C003,2025-03-26,0.0
U0062,C041,2025-09-08,1928.24
U0062,C006,2025-10-02,445.36
U0063,C070,2023-02-25,1307.55
U0063,C026,2023-05-22,2195.85
U0063,C050,2023-08-22,424.35
U0063,C072,2024-01-04,4510.64
U0063,C009,2024-02-14,0.0
U0063,C021,2024-03-05,1562.43
U0063,C078,2024-05-11,0.0
U0063,C033,2024-07-28,1310.08
U0063,C076,2024-08-19,6661.3
U0063,C001,2024-10-29,0.0
U0063,C068,2025-01-17,6933.29
U0063,C025,2025-02-09,480.0
U0063,C036,2025-03-15,973.22
U0063,C066,2025-04-17,989.53
U0063,C054,2025-06-16,1766.87
U0063,C071,2025-08-03,1894.01
U0063,C002,2025-10-19,1482.65
U0064,C051,2023-10-13,1116.23
U0064,C018,2023-11-12,1930.61
U0064,C072,2024-05-10,4935.36
U0064,C065,2024-06-01,0.0
U0064,C023,2024-09-12,728.37
U0065,C021,2023-06-01,1976.38
U0065,C057,2025-02-11,1297.78
U0065,C007,2025-03-31,2392.18
U0065,C074,2025-05-16,1021.11
U0065,C075,2025-07-08,2755.01
U0065,C025,2025-09-08,731.12
U0066,C024,2025-11-03,7127.22
U0066,C073,2025-12-30,2788.92
U0067,C060,2023-03-17,2432.84
U0067,C014,2023-04-01,1523.93
U0067,C070,2023-06-24,613.6
U0067,C010,2023-08-12,1123.01
U0067,C027,2023-12-07,490.44
U0067,C041,2024-05-23,2054.01
U0067,C073,2024-12-28,4203.34
U0067,C055,2025-01-06,1555.77
U0067,C004,2025-05-06,2338.67
U0068,C005,2023-08-05,3391.33
U0068,C029,2024-11-10,2320.09
U0068,C063,2025-03-29,5600.69
U0068,C072,2025-05-31,4258.18
U0069,C004,2023-01-22,1151.11
U0069,C042,2023-07-21,2395.99
U0069,C053,2024-03-28,814.74
U0069,C027,2024-03-30,2118.09
U0069,C037,2024-06-13,341.14
U0069,C026,2025-02-05,365.23
U0069,C065,2025-03-12,0.0
U0069,C066,2025-07-01,1058.18
U0069,C007,2025-08-06,2414.28
U0069,C006,2025-11-11,1453.42
U0069,C005,2025-11-28,6650.46
U0070,C011,2023-02-20,0.0
U0070,C063,2023-06-25,4578.75
U0070,C074,2023-08-03,718.34
U0070,C070,2023-08-26,2127.09
U0070,C021,2023-10-18,562.76
U0070,C078,2023-11-05,0.0
U0070,C023,2024-08-28,705.19
U0070,C072,2024-09-30,6408.56
U0070,C050,2024-12-03,1468.2
U0070,C034,2024-12-07,1819.32
U0070,C047,2024-12-14,0.0
U0070,C007,2025-05-01,1051.64
U0070,C015,2025-07-21,932.48
U0070,C051,2025-09-15,896.59
U0070,C062,2025-10-21,989.53
U0071,C065,2023-02-16,0.0
U0071,C014,2023-04-02,1975.14
U0071,C017,2023-05-18,606.12
U0071,C043,2023-07-19,0.0
U0071,C034,2023-08-12,748.34
U0071,C006,2023-08-24,2018.31
U0071,C071,2023-12-03,335.86
U0071,C004,2024-02-28,642.28
U0071,C032,2024-09-06,1567.24
U0071,C063,2024-10-15,3095.03
U0071,C019,2024-12-03,905.67
U0071,C033,2024-12-14,2307.36
U0071,C003,2025-06-16,0.0
U0071,C016,2025-07-15,0.0
U0071,C035,2025-09-02,5393.13
U0071,C036,2025-09-16,1087.34
U0071,C007,2025-12-03,2135.1
U0072,C014,2023-11-24,2435.53
U0072,C070,2023-12-24,1743.1
U0072,C060,2024-04-19,1217.87
U0072,C027,2024-05-14,1196.05
U0072,C055,2024-11-08,1535.82
U0072,C004,2025-04-09,554.99
U0072,C010,2025-05-23,1871.46
U0072,C073,2025-08-04,2409.7
